代號,名稱,年度,TESG分數,環境構面分數,社會構面分數,公司治理構面分數,市值_avg,ROA_avg
5880,合庫金,2018,52.59,33.9,59.83,50.86,220830790.25,0.29
5880,合庫金,2017,53.99,34.62,62.36,51.41,190941207.25,0.2825
5880,合庫金,2016,54.28,45.62,59.58,51.7,161801250.25,0.2675
6005,群益證,2022,63.52,60.02,71.55,57.1,28140395.0,0.385
6005,群益證,2021,58.41,45.27,62.02,58.54,35114437.25,1.9425000000000001
6005,群益證,2020,58.8,56.84,60.52,57.74,23896269.75,1.7599999999999998
6005,群益證,2019,60.35,44.71,66.1,59.18,22710084.75,1.5775
6005,群益證,2018,60.56,61.1,60.66,60.34,23397513.25,1.46
6005,群益證,2017,60.25,58.52,60.18,60.75,22688493.0,1.71
6005,群益證,2016,57.22,34.21,61.5,59.31,19769290.0,1.0150000000000001
6024,群益期,2022,56.34,59.15,58.5,53.63,7617819.5,0.93
6024,群益期,2021,60.49,62.91,68.73,52.33,8351718.25,0.725
6024,群益期,2020,57.86,60.3,69.48,46.62,7830887.0,0.905
6024,群益期,2019,59.57,65.49,70.36,48.17,7880117.5,0.9525
6024,群益期,2018,62.02,65.63,70.96,52.93,9337318.25,1.8375
6024,群益期,2017,61.72,63.47,68.6,54.99,6554222.25,1.4425000000000001
6024,群益期,2016,46.81,61.11,35.88,53.06,4814925.25,1.43
5864,致和證,2022,44.02,31.08,42.63,48.68,3157945.0,0.82
5864,致和證,2021,48.23,48.73,40.42,55.24,4389403.5,6.455
5864,致和證,2020,54.52,46.67,48.23,62.32,2326214.75,5.093333333333333
5864,致和證,2019,51.8,48.37,49.45,54.83,2312580.75,2.6225
5864,致和證,2018,51.99,47.09,46.64,58.14,2447713.5,8.46
5864,致和證,2017,51.44,48.22,48.47,54.99,1808120.75,2.38
5864,致和證,2016,50.93,50.51,46.77,54.83,1447770.0,2.216666666666667
5878,台名,2022,49.52,59.08,42.4,53.53,1191767.75,5.4624999999999995
5878,台名,2021,56.78,57.29,57.28,56.2,1203341.75,5.632499999999999
5878,台名,2020,57.3,59.77,58.89,55.21,1142033.0,6.6025
5878,台名,2019,58.98,57.65,60.34,58.09,1114469.75,5.2375
5878,台名,2018,57.15,56.56,50.06,63.77,1097050.5,7.035
5878,台名,2017,55.37,64.5,47.47,60.2,1063295.25,9.545
5878,台名,2016,47.85,65.8,33.73,56.05,1031316.25,8.9825
6015,宏遠證,2022,44.78,46.67,41.23,47.52,4005886.0,
6015,宏遠證,2021,41.09,33.72,38.47,45.41,6240900.25,5.525
6015,宏遠證,2020,40.64,34.07,38.71,44.12,2594292.0,1.5866666666666667
6015,宏遠證,2019,40.73,31.05,45.32,39.06,2314341.25,0.9775
6015,宏遠證,2018,41.09,35.14,44.88,39.18,2587885.25,0.28
6015,宏遠證,2017,47.9,34.0,46.82,52.51,2778596.25,1.2175
6015,宏遠證,2016,48.03,33.8,46.89,52.79,2521358.25,0.0
6016,康和證,2022,56.65,55.78,52.26,60.88,6952139.75,
6016,康和證,2021,59.33,53.79,65.05,55.55,8894518.25,2.205
6016,康和證,2020,58.87,32.57,64.28,60.79,5481203.5,2.54
6016,康和證,2019,52.99,30.85,61.5,57.14,4619721.25,0.7424999999999999
6016,康和證,2018,56.41,44.41,62.6,62.54,5060314.0,
6016,康和證,2017,56.72,32.35,62.66,61.3,4897337.25,1.235
6016,康和證,2016,56.1,35.23,69.72,49.12,4143663.0,0.19
6020,大展證,2022,58.52,63.94,42.72,71.53,4999743.75,
6020,大展證,2021,56.56,54.7,39.26,72.85,5479214.5,7.42
6020,大展證,2020,55.18,35.15,41.39,73.01,3406765.75,2.1133333333333333
6020,大展證,2019,54.03,32.48,39.67,72.76,3267971.5,1.5166666666666668
6020,大展證,2018,55.99,49.97,39.4,72.7,3454081.75,0.7733333333333334
6020,大展證,2017,56.49,45.95,40.99,73.39,3485625.75,3.5524999999999998
6020,大展證,2016,48.81,34.21,40.31,60.39,3085015.5,0.55
6021,美好證,2022,49.94,42.66,39.29,61.57,6091361.25,0.5075
6021,美好證,2021,47.95,41.81,42.68,54.36,6534137.75,1.47
6021,美好證,2020,50.59,43.5,41.54,60.71,4823722.5,0.755
6021,美好證,2019,48.15,43.48,41.88,55.1,3819099.75,0.25333333333333335
6021,美好證,2018,55.28,44.92,45.94,66.52,3183350.0,1.7175
6021,美好證,2017,51.08,47.81,47.29,55.39,3167245.5,1.4975
6021,美好證,2016,50.86,47.05,42.7,59.3,2661866.75,
6023,元大期,2022,59.57,79.42,57.16,56.59,13969593.75,0.6525
6023,元大期,2021,58.16,65.58,54.88,59.23,14680035.0,0.5675
6023,元大期,2020,56.34,51.22,55.57,58.37,13550874.25,0.8375
6023,元大期,2019,59.12,63.66,58.07,58.9,11909952.0,1.0274999999999999
6023,元大期,2018,59.0,62.33,57.48,59.52,9973350.5,0.9675
6023,元大期,2017,58.33,72.02,52.36,60.2,9227164.0,0.8625
6023,元大期,2016,56.13,48.07,54.05,60.13,8669701.5,0.91
6026,福邦證,2022,51.5,63.29,44.47,54.84,4542529.0,0.93
6026,福邦證,2021,54.45,54.31,43.19,64.78,4994567.0,10.1525
6026,福邦證,2020,50.44,34.51,46.26,58.42,2180154.5,2.8766666666666665
6026,福邦證,2019,50.78,31.87,47.3,58.9,2127668.0,3.32
6026,福邦證,2018,52.25,46.06,47.7,58.01,2871298.75,2.1325000000000003
6026,福邦證,2017,48.75,46.98,51.3,46.88,2737252.5,7.047499999999999
6026,福邦證,2016,49.55,36.66,51.02,51.57,1966833.75,2.3
6028,公勝保經,2022,50.64,39.4,55.0,49.6,974500.0,5.640000000000001
6028,公勝保經,2021,47.59,39.94,45.71,51.31,995000.0,6.0200000000000005
6028,公勝保經,2020,49.08,41.35,48.54,51.59,987000.0,7.1450000000000005
6028,公勝保經,2019,51.32,43.48,44.97,59.18,815266.6666666666,7.876666666666668
